term_id	sign_score	annotation_gene	annotation_window	geneSize	window_size
9123	0.1005	['AT1G03160', 'AT1G14345', 'AT1G18730', 'AT1G67700', 'AT2G20260', 'AT3G01440', 'AT4G37925']	[4, 5, 6, 7, 8, 9, 10, 11, 12]	7	9
122581	0.1	['AT2G40100', 'AT3G01440', 'AT3G47060', 'AT4G23890', 'AT5G62720']	[24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]	5	18
188602	0.1	['AT2G01918', 'AT3G24590', 'AT4G28025', 'AT4G39960', 'AT5G23890']	[49, 50]	5	2
183834	0.1	['AT1G55370', 'AT2G20270', 'AT3G15110', 'AT4G23890', 'AT4G24750']	[43, 44, 45, 46, 47, 48]	5	6
118877	0.1	['AT1G27510', 'AT2G01918', 'AT2G26800', 'AT2G40100', 'AT2G41330', 'AT3G01440', 'AT3G47060', 'AT4G23890', 'AT4G37925', 'AT5G35170']	[24, 25]	10	2
23144	0.1	['AT1G03160', 'AT1G14150', 'AT1G18730', 'AT1G67700', 'AT2G20260', 'AT2G26800', 'AT2G29500', 'AT2G30695', 'AT2G37660', 'AT3G15110']	[8, 9]	10	2
188059	0.1	['AT1G03160', 'AT2G29500', 'AT2G20260', 'AT1G67700', 'AT2G44990', 'AT1G02560', 'AT1G14345', 'AT1G16880', 'AT3G08920', 'AT5G42270']	[48]	10	1
125217	0.1	['AT1G14150', 'AT2G17630', 'AT2G20260', 'AT2G41330', 'AT3G01440', 'AT3G08920', 'AT3G47060', 'AT4G23890', 'AT4G37925', 'AT5G62720']	[25, 26, 27, 28, 29, 30]	10	6
125219	0.1	['AT1G14150', 'AT2G17630', 'AT2G20260', 'AT2G26800', 'AT2G41330', 'AT3G01440', 'AT3G47060', 'AT4G23890', 'AT4G37925', 'AT5G62720']	[25, 26, 27, 28, 29, 30]	10	6
135819	0.1	['AT1G14150', 'AT2G26800', 'AT2G40100', 'AT3G01440', 'AT3G47060', 'AT4G23890', 'AT4G37925', 'AT5G62720']	[27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]	8	15
28554	0.1	['AT1G03160', 'AT1G14150', 'AT1G18730', 'AT1G67700', 'AT2G20260', 'AT2G29500', 'AT2G30695', 'AT3G15110', 'AT4G27700', 'AT5G35170']	[9, 10, 11, 12]	10	4
28558	0.1	['AT1G03160', 'AT1G14150', 'AT1G18730', 'AT2G20260', 'AT2G29500', 'AT2G30695', 'AT2G37660', 'AT3G15110', 'AT4G27700', 'AT5G35170']	[9, 10, 11, 12]	10	4
162174	0.1	['AT1G02560', 'AT1G03090', 'AT1G16880', 'AT2G20260', 'AT2G29500', 'AT2G30695', 'AT2G37660', 'AT2G44990', 'AT3G08920', 'AT5G08540']	[35, 36]	10	2
7136	0.0994	['AT1G14150', 'AT1G18730', 'AT2G20260', 'AT2G29500', 'AT3G01440', 'AT3G15110']	[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]	6	19
