Term_id	Sign_score	Gene_number	Time_point_length	leaf	Trend1	Trend2	Trend3
33419	0.0374	17	11	0	0	0	0
33461	0.0374	17	11	1	0	0	0
38992	0.0374	17	11	0	0	0	1
44320	0.0373	26	11	1	0	0	0
93407	0.0373	13	11	0	1	0	1
164012	0.037	9	20	0	1	1	0
168883	0.037	15	12	0	0	0	0
38870	0.037	18	11	0	0	0	1
106624	0.037	9	10	1	1	1	1
141871	0.037	12	18	0	0	0	1
46458	0.037	6	21	1	0	0	1
179629	0.037	18	10	0	0	0	0
172131	0.037	18	11	0	1	1	1
51034	0.037	18	14	1	0	0	1
187511	0.037	9	11	0	1	1	1
187955	0.037	6	15	1	1	1	1
188060	0.037	9	10	1	1	1	0
188063	0.037	9	10	1	1	1	1
62919	0.037	9	10	1	0	0	0
162870	0.037	9	15	0	1	0	1
673	0.0368	7	22	0	0	0	0
172037	0.0367	20	10	1	1	1	0
86663	0.0367	10	10	1	0	0	1
23723	0.0366	13	14	0	0	0	0
188868	0.0366	14	13	0	1	0	1
128416	0.0366	5	31	1	1	0	1
6044	0.0365	12	19	0	0	0	0
168648	0.0365	21	10	0	0	0	0
56944	0.0365	26	13	1	0	0	0
6135	0.0364	11	20	1	0	0	0
175119	0.0364	15	11	0	1	1	0
186386	0.0364	11	15	1	1	1	1
157024	0.0363	15	19	0	0	1	0
124834	0.0361	10	12	0	0	0	0
38933	0.0361	21	11	0	0	0	1
6136	0.0359	13	20	1	0	0	0
87877	0.0359	13	15	1	0	1	1
69179	0.0358	11	11	1	1	0	1
69186	0.0358	11	11	1	1	0	1
69325	0.0358	11	11	1	1	0	1
179672	0.0358	11	11	0	1	0	1
159587	0.0358	18	15	0	1	1	1
143891	0.0357	11	28	1	0	1	1
143898	0.0357	11	28	1	0	1	1
16287	0.0357	8	21	0	0	0	0
87591	0.0357	14	14	0	0	0	1
124705	0.0357	7	12	0	0	0	1
44207	0.0357	17	11	1	0	0	0
38765	0.0356	15	10	1	0	1	1
16958	0.0356	6	25	1	0	0	1
148304	0.0356	30	10	0	0	0	0
148305	0.0356	30	10	1	0	0	0
188055	0.0356	15	10	0	1	1	1
125362	0.0356	5	15	1	1	0	1
119314	0.0354	6	11	0	0	1	1
129695	0.0354	18	11	0	0	0	1
176171	0.0353	10	17	0	1	0	1
160215	0.0352	10	18	0	1	1	0
38876	0.0351	19	11	1	0	0	1
141248	0.0351	19	13	0	0	1	1
179619	0.035	20	10	0	0	0	1
153576	0.035	10	20	0	1	1	0
29477	0.035	9	18	0	0	0	1
162464	0.035	11	13	0	1	0	1
44056	0.0349	21	10	0	0	1	0
160301	0.0349	17	18	0	1	1	1
58761	0.0348	11	20	1	1	1	1
188858	0.0348	14	13	0	1	1	1
28576	0.0348	14	13	0	0	0	1
38780	0.0348	23	10	0	0	0	0
38784	0.0348	23	10	0	0	0	1
38795	0.0348	23	10	0	0	0	1
50674	0.0347	8	12	1	0	0	0
155742	0.0347	17	13	0	0	1	1
6764	0.0347	5	25	1	0	1	1
16959	0.0347	5	25	1	0	0	1
44122	0.0346	7	11	1	0	0	1
44257	0.0346	7	11	1	0	0	1
188611	0.0346	14	11	0	1	1	1
30392	0.0346	7	22	0	0	1	1
50283	0.0345	28	10	1	0	0	0
38897	0.0344	22	11	0	0	0	1
44202	0.0344	22	11	1	0	0	0
744	0.0344	8	23	1	0	0	0
25035	0.0344	6	21	1	0	0	1
129866	0.0342	6	13	1	1	0	0
38990	0.0341	16	11	1	0	0	1
188610	0.0341	16	11	0	1	1	1
157022	0.034	16	19	0	0	1	0
159088	0.034	9	12	1	1	1	1
141743	0.0339	11	17	0	0	1	1
152918	0.0339	11	17	0	1	1	1
746	0.0338	9	23	1	0	0	0
747	0.0338	9	23	1	0	0	0
184537	0.0337	9	11	1	0	1	1
186729	0.0337	9	11	0	1	1	1
45656	0.0336	14	17	0	0	0	0
161225	0.0334	13	23	0	1	1	1
33340	0.0333	19	10	0	1	1	1
100007	0.0333	14	10	1	0	0	0
34621	0.0333	10	17	0	0	0	0
133954	0.0333	18	10	1	0	0	1
38785	0.0333	24	10	0	0	0	0
175062	0.0333	14	10	1	0	0	1
44050	0.0333	8	10	1	1	1	0
112914	0.0333	6	10	1	0	0	1
86671	0.0333	9	10	0	0	0	0
186627	0.0333	16	10	1	1	1	0
88392	0.0333	5	16	1	0	0	0
187468	0.0333	14	10	0	0	0	1
188056	0.0333	11	10	0	1	1	1
124310	0.0333	10	10	1	0	0	0
125206	0.0333	5	14	1	0	0	1
93105	0.0333	9	10	1	1	1	1
93106	0.0333	9	10	1	1	1	1
62948	0.0333	38	10	0	0	0	1
5966	0.0331	14	18	0	0	0	0
29520	0.0329	9	18	1	0	0	1
69319	0.0328	12	11	1	0	0	1
16455	0.0328	6	22	1	0	1	1
144966	0.0327	8	14	0	1	1	0
168870	0.0327	17	12	0	0	0	0
184513	0.0326	13	11	0	1	1	0
146508	0.0325	7	22	0	1	1	0
50496	0.0325	14	11	1	0	0	1
153938	0.0325	7	22	1	1	1	1
69473	0.0324	6	12	0	1	1	1
112918	0.0323	15	11	0	0	1	1
56333	0.0323	32	10	0	1	1	0
50235	0.0322	30	10	0	0	0	0
142971	0.0322	9	23	0	1	1	1
38848	0.0322	16	11	0	0	1	1
179749	0.0321	17	11	0	1	1	1
28326	0.0321	17	11	0	0	0	1
44752	0.0321	8	13	0	0	0	1
184652	0.0321	13	12	0	1	1	0
60169	0.0321	6	26	0	1	1	0
44079	0.032	25	10	0	1	1	1
165328	0.032	18	11	1	1	1	1
165277	0.0318	22	10	1	1	1	1
38881	0.0317	21	11	0	0	0	1
185068	0.0317	7	15	1	0	1	1
154318	0.0317	7	24	1	1	1	1
187949	0.0317	7	15	1	0	1	1
25019	0.0317	6	21	1	0	0	0
125048	0.0317	6	14	0	0	0	1
159091	0.0317	21	12	0	1	1	1
24563	0.0316	10	19	0	0	0	0
175522	0.0316	13	13	1	1	1	0
188553	0.0315	18	10	0	1	0	1
163344	0.0314	10	17	1	1	1	1
187726	0.0313	9	13	0	0	0	1
188904	0.0313	19	14	1	1	0	1
29938	0.0313	8	20	0	0	0	1
112887	0.0311	15	10	0	0	0	0
16956	0.0311	6	25	1	0	0	0
