term_id	sign_score	annotation_gene	start_time	end_time	geneSize	time_size
113897	0.0658	['AT1G22020', 'AT1G50460', 'AT1G51350', 'AT1G54500', 'AT2G35040', 'AT3G15840', 'AT3G25480', 'AT3G28850', 'AT3G46780', 'AT4G16155', 'AT5G53170', 'AT5G59250']	76	94	12	19
42547	0.0652	['AT1G02560', 'AT2G20260', 'AT2G29500', 'AT2G30695', 'AT2G37660', 'AT2G44990', 'AT3G08920']	61	79	7	19
42551	0.0652	['AT1G02560', 'AT1G67700', 'AT2G20260', 'AT2G29500', 'AT2G30695', 'AT2G37660', 'AT3G08920']	61	79	7	19
128326	0.0648	['AT1G02560', 'AT1G03090', 'AT2G29500', 'AT2G30695', 'AT2G44990', 'AT3G08920']	81	92	6	12
64971	0.0648	['AT1G22450', 'AT1G51350', 'AT1G75690', 'AT3G15840', 'AT3G28850', 'AT4G16155', 'AT5G59250']	65	100	7	36
72663	0.0644	['AT1G22020', 'AT1G51350', 'AT1G75690', 'AT3G15840', 'AT3G28850', 'AT4G27700', 'AT5G59250']	67	83	7	17
72662	0.0644	['AT1G22020', 'AT1G51350', 'AT3G15840', 'AT3G25480', 'AT3G28850', 'AT4G27700', 'AT5G59250']	67	83	7	17
132198	0.0637	['AT1G22020', 'AT1G22450', 'AT1G51350', 'AT1G75690', 'AT3G15840', 'AT3G25480', 'AT3G28850', 'AT3G46780', 'AT4G16155', 'AT4G27700', 'AT5G53170', 'AT5G59250']	82	98	12	17
107804	0.0635	['AT1G50460', 'AT2G35040', 'AT3G15840', 'AT3G46780', 'AT5G16150', 'AT5G19500', 'AT5G53170']	74	100	7	27
160887	0.0633	['AT3G15840', 'AT2G37400', 'AT4G19830', 'AT1G20810', 'AT1G54500', 'AT4G39730', 'AT1G74070', 'AT3G15360', 'AT1G78915', 'AT1G16790']	97	106	10	10
82320	0.0629	['AT1G02560', 'AT1G03090', 'AT1G76760', 'AT1G80030', 'AT2G17630', 'AT2G20260', 'AT2G29500', 'AT2G30695', 'AT2G37660', 'AT2G44990', 'AT3G08920', 'AT5G01500', 'AT5G19370']	69	79	13	11
82330	0.0629	['AT1G02560', 'AT1G03090', 'AT1G67700', 'AT1G76760', 'AT1G80030', 'AT2G20260', 'AT2G29500', 'AT2G30695', 'AT2G37660', 'AT2G44990', 'AT3G08920', 'AT5G01500', 'AT5G19370']	69	79	13	11
77217	0.0625	['AT1G02560', 'AT1G76760', 'AT1G80030', 'AT2G17630', 'AT2G20260', 'AT2G29500', 'AT2G30695', 'AT2G37660', 'AT2G44990', 'AT3G08920', 'AT5G01500', 'AT5G19370']	68	79	12	12
77236	0.0625	['AT1G02560', 'AT1G03090', 'AT1G76760', 'AT1G80030', 'AT2G20260', 'AT2G29500', 'AT2G30695', 'AT2G37660', 'AT2G44990', 'AT3G08920', 'AT5G01500', 'AT5G19370']	68	79	12	12
114668	0.0625	['AT1G50460', 'AT2G22360', 'AT2G35040', 'AT3G46780', 'AT4G16155', 'AT5G16150', 'AT5G19500', 'AT5G53170']	76	99	8	24
142872	0.0623	['AT1G22020', 'AT1G22450', 'AT1G51350', 'AT1G52220', 'AT1G75690', 'AT2G35040', 'AT3G15840', 'AT3G25480', 'AT3G28850', 'AT3G46780', 'AT4G16155', 'AT4G27700', 'AT5G53170', 'AT5G59250']	86	98	14	13
158798	0.0619	['AT1G20810', 'AT2G37400', 'AT1G16790', 'AT1G78915', 'AT1G74070', 'AT4G38100', 'AT4G39730']	95	104	7	10
137228	0.0617	['AT4G27700', 'AT5G59250', 'AT5G19500', 'AT2G35040', 'AT3G46780', 'AT5G53170', 'AT4G16155', 'AT3G28850', 'AT1G75690', 'AT3G58010', 'AT1G22020', 'AT1G54500', 'AT4G38380', 'AT2G22360', 'AT5G16150', 'AT3G15840', 'AT1G51350', 'AT3G25480', 'AT1G50460', 'AT1G22450']	84	93	20	10
